2025-07-21 17:12:33,970 | INFO | __main__ | ============================================================
2025-07-21 17:12:33,970 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-21 17:12:33,970 | INFO | __main__ | ============================================================
2025-07-21 17:12:33,971 | INFO | __main__ | Environment: SIM
2025-07-21 17:12:33,971 | INFO | __main__ | Poll interval: 60 seconds
2025-07-21 17:12:33,972 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-21 17:12:33,972 | INFO | __main__ | Max retries: 5
2025-07-21 17:12:33,977 | INFO | __main__ | ============================================================
2025-07-21 17:12:33,977 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-21 17:12:33,977 | INFO | __main__ | ============================================================
2025-07-21 17:12:33,987 | INFO | __main__ | Starting Fill Monitor...
2025-07-21 17:12:34,408 | INFO | __main__ | Token manager initialized successfully
2025-07-21 17:12:34,424 | INFO | __main__ | Resuming from timestamp: 1752278999681892010
2025-07-21 17:12:36,507 | INFO | __main__ | Retrieved 6 fills from API
2025-07-21 17:12:37,886 | INFO | __main__ | Successfully loaded market enums
2025-07-21 17:12:41,513 | INFO | __main__ | Saved 5 new unique fills to CSV
2025-07-21 17:12:41,513 | INFO | __main__ | Processed 5 new fills. Latest timestamp: 1752848901387752798
2025-07-21 17:12:47,314 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-21 17:13:22,085 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-21 17:13:22,765 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-21 17:13:41,514 | INFO | __main__ | Fill Monitor stopped
2025-07-21 17:13:41,515 | INFO | __main__ | Monitoring session completed
2025-07-21 17:20:07,739 | INFO | __main__ | ============================================================
2025-07-21 17:20:07,740 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-21 17:20:07,740 | INFO | __main__ | ============================================================
2025-07-21 17:20:07,741 | INFO | __main__ | Environment: SIM
2025-07-21 17:20:07,742 | INFO | __main__ | Poll interval: 60 seconds
2025-07-21 17:20:07,742 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-21 17:20:07,743 | INFO | __main__ | Max retries: 5
2025-07-21 17:20:07,743 | INFO | __main__ | ============================================================
2025-07-21 17:20:07,744 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-21 17:20:07,744 | INFO | __main__ | ============================================================
2025-07-21 17:20:07,749 | INFO | __main__ | Initialized CSV file: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder\continuous_fills.csv
2025-07-21 17:20:07,750 | INFO | __main__ | Starting Fill Monitor...
2025-07-21 17:20:07,752 | INFO | __main__ | Token manager initialized successfully
2025-07-21 17:20:13,596 | INFO | __main__ | Retrieved 307 fills from API
